Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
ODIN,-,0.01,0.712,0.262,0.355,0.363,0.348,0.449,0.075,0.173,0.144,0.218,177,0.101,0.528
MSP,-,0.005,0.714,0.265,0.346,0.311,0.392,0.45,0.127,0.164,0.121,0.252,207,0.101,0.51
