Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
MSP,-,0.005,0.714,0.304,0.429,0.49,0.382,0.452,0.08,0.217,0.204,0.232,160,0.086,0.646
MSP,-,0.001,0.718,0.346,0.382,0.318,0.48,0.453,0.093,0.179,0.125,0.312,169,0.082,0.5609999999999999
