Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
ODIN,-,0.01,0.729,0.268,0.368,0.37,0.366,0.452,0.087,0.184,0.155,0.226,156,0.094,0.552
MSP,-,0.01,0.73,0.274,0.375,0.378,0.373,0.451,0.088,0.19,0.162,0.23,141,0.081,0.565
