Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$Cosine^{SDR}$,$KMeans$,0.05,0.517,0.237,0.368,0.556,0.275,0.359,0.05,0.178,0.238,0.142,183,0.101,0.546
$Cosine^{SDR}$,$KMeans$,0.01,0.468,0.285,0.384,0.406,0.363,0.326,0.061,0.187,0.17,0.207,247,0.115,0.571
$Cosine^{SDR}$,$KMeans^{10}$,0.05,0.508,0.24,0.375,0.559,0.282,0.357,0.049,0.177,0.23,0.144,178,0.102,0.552
$Cosine^{SDR}$,$KMeans^{10}$,0.01,0.463,0.288,0.389,0.407,0.374,0.315,0.06,0.186,0.167,0.212,237,0.117,0.575
$L^{SDR}_1$,$One$,0.15,0.599,0.163,0.221,0.73,0.13,0.393,0.045,0.098,0.237,0.062,239,0.127,0.319
$L^{SDR}_1$,$One$,0.1,0.596,0.161,0.253,0.681,0.156,0.392,0.036,0.112,0.233,0.074,271,0.137,0.365
$L^{SDR}_1$,$One$,0.05,0.582,0.163,0.292,0.618,0.191,0.39,0.036,0.138,0.223,0.1,322,0.147,0.43
$L^{SDR}_1$,$One$,0.01,0.551,0.22,0.335,0.45,0.267,0.373,0.05,0.163,0.175,0.153,463,0.159,0.498
$L^{SDR}_1$,$KMeans^{10}$,0.1,0.549,0.167,0.3,0.64,0.196,0.38,0.038,0.135,0.233,0.095,219,0.128,0.435
$L^{SDR}_2$,$One$,0.05,0.564,0.163,0.293,0.601,0.194,0.382,0.05,0.139,0.22,0.102,317,0.143,0.432
$Cosine^{SDR}$,$HDBSCAN$,0.01,0.466,0.286,0.387,0.41,0.366,0.321,0.062,0.187,0.17,0.209,249,0.118,0.5740000000000001
$Cosine^{SDR}$,$One$,0.05,0.513,0.236,0.366,0.568,0.27,0.364,0.049,0.172,0.235,0.135,204,0.109,0.538
