Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$L^{EUL}_2$,$KMeans$,0.01,0.558,0.209,0.285,0.235,0.363,0.369,0.042,0.134,0.098,0.214,426,0.163,0.419
$Cosine^{EUL}$,$KMeans$,0.05,0.596,0.181,0.261,0.237,0.29,0.387,0.037,0.122,0.098,0.162,323,0.153,0.383
$L^{EUL}_2$,$KMeans^{10}$,0.01,0.504,0.217,0.284,0.229,0.374,0.333,0.046,0.138,0.098,0.233,346,0.157,0.422
$L^{EUL}_1$,$HDBSCAN$,0.005,0.52,0.217,0.281,0.218,0.397,0.342,0.045,0.14,0.096,0.254,445,0.142,0.42100000000000004
$Cosine^{EUL}$,$One$,0.05,0.633,0.179,0.26,0.239,0.285,0.407,0.027,0.116,0.094,0.149,374,0.167,0.376
$Cosine^{EUL}$,$One$,0.01,0.601,0.204,0.279,0.235,0.343,0.384,0.027,0.129,0.097,0.194,510,0.17,0.40800000000000003
$Cosine^{EUL}$,$One$,0.005,0.587,0.205,0.279,0.223,0.371,0.382,0.037,0.133,0.095,0.221,580,0.159,0.41200000000000003
